User_Type,Weight_Profile,Model,k,HitRate,NDCG,unSerendipity,Train_Scenario,trainable
warm,None,bert,14,0.029045643153526972,0.01965517253132886,0.8344782,2,False
warm,None,bert,16,0.03734439834024896,0.021718762867673727,0.8344376,2,False
warm,None,bert,18,0.03941908713692946,0.022216299105366946,0.8344135,2,False
warm,None,bert,20,0.043568464730290454,0.023168681806314484,0.834384,2,False
warm,None,bert,30,0.06431535269709543,0.02756819747733926,0.8342989,2,False
warm,None,bert,50,0.08091286307053942,0.030726569100037647,0.8341443,2,False
warm,None,minilm,2,0.01867219917012448,0.017906493264671076,0.8465743,2,False
warm,None,minilm,4,0.01867219917012448,0.017906493264671076,0.845547,2,False
warm,None,minilm,6,0.026970954356846474,0.020926149630975242,0.8454081,2,False
warm,None,minilm,8,0.029045643153526972,0.021617712563202073,0.8450511,2,False
warm,None,minilm,10,0.03734439834024896,0.02404141479269926,0.84492046,2,False
warm,None,minilm,12,0.03734439834024896,0.02404141479269926,0.844828,2,False
warm,None,minilm,14,0.03941908713692946,0.024572448039192653,0.8443977,2,False
warm,None,minilm,16,0.043568464730290454,0.025598693977197273,0.8442205,2,False
warm,None,minilm,18,0.043568464730290454,0.025598693977197273,0.84390056,2,False
warm,None,minilm,20,0.04771784232365145,0.02654338380581533,0.8438524,2,False
warm,None,minilm,30,0.05186721991701245,0.027416039066633393,0.84327716,2,False
warm,None,minilm,50,0.07261410788381743,0.031352586724373216,0.8424248,2,False
warm,None,e5,2,0.04771784232365145,0.03546654783639693,0.8874573,2,False
warm,None,e5,4,0.05394190871369295,0.03843475646310521,0.88636804,2,False
warm,None,e5,6,0.06431535269709543,0.04225701201454328,0.88561976,2,False
warm,None,e5,8,0.07883817427385892,0.04694966659367796,0.88492596,2,False
warm,None,e5,10,0.09336099585062241,0.05119735149599622,0.8847185,2,False
warm,None,e5,12,0.1037344398340249,0.05403677131878506,0.8842976,2,False
warm,None,e5,14,0.11825726141078838,0.05778176964684204,0.8838905,2,False
warm,None,e5,16,0.13485477178423236,0.06192004877986741,0.8835537,2,False
warm,None,e5,18,0.14522821576763487,0.0643711859583626,0.88310224,2,False
warm,None,e5,20,0.15145228215767634,0.06580360644594865,0.8827631,2,False
warm,None,e5,30,0.17427385892116182,0.07064702685055439,0.88118595,2,False
warm,None,e5,50,0.22199170124481327,0.07944899982681149,0.8788129,2,False
warm,None,bge,2,0.05394190871369295,0.051644790997332726,0.74534184,2,False
warm,None,bge,4,0.07261410788381743,0.06026176774083265,0.7424393,2,False
warm,None,bge,6,0.08506224066390042,0.06501378272689226,0.740616,2,False
warm,None,bge,8,0.1037344398340249,0.07097834871064074,0.7389442,2,False
warm,None,bge,10,0.11825726141078838,0.07520120961016628,0.73807514,2,False
warm,None,bge,12,0.14107883817427386,0.08140458986151097,0.7373082,2,False
warm,None,bge,14,0.15145228215767634,0.08405975609397792,0.7361976,2,False
warm,None,bge,16,0.16597510373443983,0.08764606764682627,0.73512757,2,False
warm,None,bge,18,0.17634854771784234,0.0901154768303069,0.73423356,2,False
warm,None,bge,20,0.1887966804979253,0.09297262493314952,0.73350215,2,False
warm,None,bge,30,0.21369294605809128,0.09823386043353724,0.7292814,2,False
warm,None,bge,50,0.26348547717842324,0.107606785151091,0.72319245,2,False
warm,None,openai,2,0.058091286307053944,0.051199933157973276,0.67369384,2,False
warm,None,openai,4,0.07261410788381743,0.0581736948097301,0.66818213,2,False
warm,None,openai,6,0.0995850622406639,0.06828958359275177,0.6651514,2,False
warm,None,openai,8,0.11618257261410789,0.07363672961749998,0.66239506,2,False
warm,None,openai,10,0.13070539419087138,0.07790923852261096,0.66028565,2,False
warm,None,openai,12,0.14522821576763487,0.08188803822108123,0.65819323,2,False
warm,None,openai,14,0.16182572614107885,0.08619183539823484,0.65648437,2,False
warm,None,openai,16,0.17634854771784234,0.08978924541141882,0.65490574,2,False
warm,None,openai,18,0.1970954356846473,0.09470979177339467,0.65366614,2,False
warm,None,openai,20,0.21161825726141079,0.0980392847905463,0.6521182,2,False
warm,None,openai,30,0.2572614107883817,0.10769638844343936,0.6463884,2,False
warm,None,openai,50,0.3278008298755187,0.12093138667643923,0.6365848,2,False
warm,None,gemini,2,0.07468879668049792,0.06856314943687067,0.85078615,2,False
warm,None,gemini,4,0.12033195020746888,0.08951500681229413,0.8480719,2,False
warm,None,gemini,6,0.13692946058091288,0.09549073942015864,0.8463627,2,False
warm,None,gemini,8,0.14730290456431536,0.09883733962145295,0.8447668,2,False
warm,None,gemini,10,0.15352697095435686,0.10066132229427402,0.8434114,2,False
warm,None,gemini,12,0.17012448132780084,0.10520078206417026,0.8423619,2,False
warm,None,gemini,14,0.1825726141078838,0.10842862994703546,0.8413523,2,False
warm,None,gemini,16,0.19294605809128632,0.11101089248255046,0.84045374,2,False
warm,None,gemini,18,0.1970954356846473,0.11199682895544417,0.8395511,2,False
warm,None,gemini,20,0.2074688796680498,0.11437393927164828,0.8389708,2,False
warm,None,gemini,30,0.2551867219917012,0.12457071037643111,0.83592457,2,False
warm,None,gemini,50,0.31950207468879666,0.1367051672821117,0.83130497,2,False
warm,None,harrier,2,0.05186721991701245,0.04880439629519882,0.7926601,2,False
warm,None,harrier,4,0.06846473029045644,0.056384028640358505,0.789578,2,False
warm,None,harrier,6,0.07883817427385892,0.060269864316540384,0.7878466,2,False
warm,None,harrier,8,0.1037344398340249,0.06823497612374278,0.78650504,2,False
warm,None,harrier,10,0.11618257261410789,0.07183329346379948,0.7854242,2,False
warm,None,harrier,12,0.13070539419087138,0.07579403342944027,0.7844628,2,False
warm,None,harrier,14,0.14107883817427386,0.07849084806581207,0.7835577,2,False
warm,None,harrier,16,0.15560165975103735,0.08207715961866043,0.7825581,2,False
warm,None,harrier,18,0.17842323651452283,0.08748610621583676,0.7816339,2,False
warm,None,harrier,20,0.1887966804979253,0.08985552365971139,0.7808591,2,False
warm,None,harrier,30,0.23029045643153526,0.09867090285524242,0.7777469,2,False
warm,None,harrier,50,0.2925311203319502,0.11045148307284967,0.772983,2,False
warm,None,qwen,2,0.058091286307053944,0.055028462685240316,0.648527,2,False
warm,None,qwen,4,0.07883817427385892,0.06525808210033034,0.642364,2,False
warm,None,qwen,6,0.0975103734439834,0.07229073439230402,0.6386768,2,False
warm,None,qwen,8,0.12863070539419086,0.08233053499618691,0.6367879,2,False
warm,None,qwen,10,0.15145228215767634,0.08910121813917327,0.63453615,2,False
warm,None,qwen,12,0.16390041493775934,0.09253741749904705,0.6319205,2,False
warm,None,qwen,14,0.17842323651452283,0.09631018142970726,0.6298758,2,False
warm,None,qwen,16,0.1908713692946058,0.09940001770405674,0.62837833,2,False
warm,None,qwen,18,0.2033195020746888,0.10235782712273789,0.62703633,2,False
warm,None,qwen,20,0.21369294605809128,0.10474263031127146,0.62558705,2,False
warm,None,qwen,30,0.24066390041493776,0.11048303914508441,0.6184369,2,False
warm,None,qwen,50,0.3112033195020747,0.12362629673246739,0.60856193,2,False
cold,None,w2v,2,0.006622516556291391,0.004178342738883825,0.7906272,2,False
cold,None,w2v,4,0.006622516556291391,0.004178342738883825,0.7903283,2,False
cold,None,w2v,6,0.013245033112582781,0.006740281859642379,0.7900045,2,False
cold,None,w2v,8,0.013245033112582781,0.006740281859642379,0.7899734,2,False
cold,None,w2v,10,0.019867549668874173,0.008654618457774087,0.7898512,2,False
cold,None,w2v,12,0.019867549668874173,0.008654618457774087,0.7896163,2,False
cold,None,w2v,14,0.019867549668874173,0.008654618457774087,0.7894104,2,False
cold,None,w2v,16,0.019867549668874173,0.008654618457774087,0.7894465,2,False
cold,None,w2v,18,0.019867549668874173,0.008654618457774087,0.78933233,2,False
cold,None,w2v,20,0.026490066225165563,0.010162368449144636,0.7891935,2,False
cold,None,w2v,30,0.033112582781456956,0.01157128271108744,0.788662,2,False
cold,None,w2v,50,0.039735099337748346,0.01280739139478905,0.78763735,2,False
cold,None,bert,2,0.0,0.0,0.73849857,2,False
cold,None,bert,4,0.0,0.0,0.7383025,2,False
cold,None,bert,6,0.0,0.0,0.7382259,2,False
cold,None,bert,8,0.0,0.0,0.73813695,2,False
cold,None,bert,10,0.0,0.0,0.73805004,2,False
cold,None,bert,12,0.0,0.0,0.737985,2,False
cold,None,bert,14,0.0,0.0,0.7379394,2,False
cold,None,bert,16,0.0,0.0,0.73787946,2,False
cold,None,bert,18,0.0,0.0,0.73784685,2,False
cold,None,bert,20,0.0,0.0,0.7378136,2,False
cold,None,bert,30,0.019867549668874173,0.004140410352949046,0.7377366,2,False
cold,None,bert,50,0.033112582781456956,0.006655322749926816,0.7375765,2,False
cold,None,minilm,2,0.006622516556291391,0.004178342738883825,0.7434515,2,False
cold,None,minilm,4,0.006622516556291391,0.004178342738883825,0.7441023,2,False
cold,None,minilm,6,0.013245033112582781,0.006740281859642379,0.74349487,2,False
cold,None,minilm,8,0.013245033112582781,0.006740281859642379,0.7427402,2,False
cold,None,minilm,10,0.013245033112582781,0.006740281859642379,0.7410647,2,False
cold,None,minilm,12,0.019867549668874173,0.008529938511478933,0.74148357,2,False
cold,None,minilm,14,0.019867549668874173,0.008529938511478933,0.7413654,2,False
cold,None,minilm,16,0.019867549668874173,0.008529938511478933,0.7414792,2,False
cold,None,minilm,18,0.019867549668874173,0.008529938511478933,0.7413998,2,False
cold,None,minilm,20,0.019867549668874173,0.008529938511478933,0.7408914,2,False
cold,None,minilm,30,0.019867549668874173,0.008529938511478933,0.7412157,2,False
cold,None,minilm,50,0.019867549668874173,0.008529938511478933,0.73927045,2,False
cold,None,e5,2,0.006622516556291391,0.004178342738883825,0.87726647,2,False
cold,None,e5,4,0.019867549668874173,0.009882668011379096,0.8769107,2,False
