User_Type,Weight_Profile,Model,k,HitRate,NDCG,unSerendipity,Train_Scenario,trainable
all,None,gemini,16,0.24960505529225907,0.14515676120096713,0.7172336,2,True
all,None,gemini,18,0.26224328593996843,0.14817365318539374,0.7158531,2,True
all,None,gemini,20,0.27330173775671407,0.15070890695200842,0.7145485,2,True
all,None,gemini,30,0.2985781990521327,0.15614578764595363,0.7090419,2,True
all,None,gemini,50,0.353870458135861,0.16648978564610303,0.7009103,2,True
all,None,harrier,2,0.12006319115323855,0.10607000645452605,0.6937769,2,True
all,None,harrier,4,0.1484992101105845,0.1193023745787923,0.68239,2,True
all,None,harrier,6,0.18009478672985782,0.1311863189765888,0.67654365,2,True
all,None,harrier,8,0.1990521327014218,0.13742074967225576,0.67219806,2,True
all,None,harrier,10,0.20853080568720378,0.14021740759634047,0.66808087,2,True
all,None,harrier,12,0.22748815165876776,0.14545041894376276,0.6649106,2,True
all,None,harrier,14,0.23854660347551343,0.14829148953443588,0.66266227,2,True
all,None,harrier,16,0.24486571879936808,0.14984591548444326,0.6606028,2,True
all,None,harrier,18,0.26224328593996843,0.15396457624248275,0.6592564,2,True
all,None,harrier,20,0.27488151658767773,0.1568594986484291,0.6574758,2,True
all,None,harrier,30,0.315955766192733,0.16555149478368827,0.65137607,2,True
all,None,harrier,50,0.3522906793048973,0.17231845308881444,0.64245045,2,True
all,None,qwen,2,0.12480252764612954,0.1125584910347561,0.626754,2,True
all,None,qwen,4,0.1627172195892575,0.1309682584760941,0.613312,2,True
all,None,qwen,6,0.18799368088467613,0.14045604867355627,0.6052846,2,True
all,None,qwen,8,0.20221169036334913,0.1450542441194678,0.59873104,2,True
all,None,qwen,10,0.21169036334913113,0.1478698043647943,0.59301597,2,True
all,None,qwen,12,0.22748815165876776,0.15223523103594733,0.58846104,2,True
all,None,qwen,14,0.24960505529225907,0.15798079885451993,0.5848871,2,True
all,None,qwen,16,0.26540284360189575,0.16187954017001652,0.5812581,2,True
all,None,qwen,18,0.2796208530805687,0.16525441289214246,0.5783588,2,True
all,None,qwen,20,0.2843601895734597,0.1663392765739018,0.5756082,2,True
all,None,qwen,30,0.3127962085308057,0.17240489771721584,0.56474787,2,True
all,None,qwen,50,0.353870458135861,0.1800904599932954,0.5483701,2,True
warm,None,w2v,2,0.0,0.0,0.9053135,2,True
warm,None,w2v,4,0.004149377593360996,0.002074688796680498,0.90530396,2,True
warm,None,w2v,6,0.014522821576763486,0.005833364223374752,0.9052517,2,True
warm,None,w2v,8,0.02074688796680498,0.007870981533441962,0.9051286,2,True
warm,None,w2v,10,0.024896265560165973,0.009095244649586918,0.90509504,2,True
warm,None,w2v,12,0.03112033195020747,0.010813344329523807,0.9050326,2,True
warm,None,w2v,14,0.03319502074688797,0.0113443775760172,0.90499926,2,True
warm,None,w2v,16,0.043568464730290454,0.013904443190860928,0.9049386,2,True
warm,None,w2v,18,0.056016597510373446,0.016871388612034792,0.9048794,2,True
