Model,Hidden_Dim,Layers,Heads,LR,Trainable,k,HitRate,NDCG,unSerendipity
word2vec,256,2,3,1e-05,True,20,0.0679304897314376,0.028479261987166035,0.8736883
word2vec,256,2,3,1e-05,False,10,0.014218009478672985,0.008763682826126645,0.63638395
word2vec,256,2,3,1e-05,False,20,0.017377567140600316,0.009565104748963011,0.63494486
bert_multi,256,2,3,1e-05,True,10,0.04739336492890995,0.024656878610569272,0.84559023
bert_multi,256,2,3,1e-05,True,20,0.07266982622432859,0.031020527106490153,0.84497494
bert_multi,256,2,3,1e-05,False,10,0.00315955766192733,0.00210637177461822,0.81852216
bert_multi,256,2,3,1e-05,False,20,0.00631911532385466,0.0028525341613720575,0.8213434
qwen,256,2,3,1e-05,True,10,0.036334913112164295,0.019697704767066615,0.8462574
qwen,256,2,3,1e-05,True,20,0.05529225908372828,0.02442844023465063,0.84579915
qwen,256,2,3,1e-05,False,10,0.037914691943127965,0.028077727335392596,0.40417054
qwen,256,2,3,1e-05,False,20,0.04265402843601896,0.029216241233332902,0.4049028
word2vec,256,3,1,0.0001,True,10,0.08372827804107424,0.04559832666212905,0.7185346
word2vec,256,3,1,0.0001,True,20,0.1406003159557662,0.05994575408471854,0.7221424
word2vec,256,3,1,0.0001,False,10,0.030015797788309637,0.01961155688874646,0.75982714
word2vec,256,3,1,0.0001,False,20,0.037914691943127965,0.021603903818052703,0.7620624
bert_multi,256,3,1,0.0001,True,10,0.03949447077409163,0.01836750779053241,0.8280791
bert_multi,256,3,1,0.0001,True,20,0.0631911532385466,0.024463036317886832,0.82733434
bert_multi,256,3,1,0.0001,False,10,0.001579778830963665,0.0006111418755679963,0.7848257
bert_multi,256,3,1,0.0001,False,20,0.001579778830963665,0.0006111418755679963,0.78568226
qwen,256,3,1,0.0001,True,10,0.04107424960505529,0.019746980114621195,0.83098215
qwen,256,3,1,0.0001,True,20,0.061611374407582936,0.024761906888592044,0.8303186
qwen,256,3,1,0.0001,False,10,0.009478672985781991,0.0062344306956669615,0.31749815
qwen,256,3,1,0.0001,False,20,0.009478672985781991,0.0062344306956669615,0.31861883
word2vec,256,3,1,1e-05,True,10,0.04897314375987362,0.0232331909995923,0.8806006
word2vec,256,3,1,1e-05,True,20,0.08214849921011058,0.03143889694234111,0.8786754
word2vec,256,3,1,1e-05,False,10,0.020537124802527645,0.009762835417241121,0.5782977
word2vec,256,3,1,1e-05,False,20,0.026856240126382307,0.011281474472855216,0.57969135
bert_multi,256,3,1,1e-05,True,10,0.037914691943127965,0.019760819752660974,0.74969876
bert_multi,256,3,1,1e-05,True,20,0.05055292259083728,0.022925885330000687,0.74895895
bert_multi,256,3,1,1e-05,False,10,0.001579778830963665,0.0007898894154818325,0.7681768
bert_multi,256,3,1,1e-05,False,20,0.001579778830963665,0.0007898894154818325,0.7714136
qwen,256,3,1,1e-05,True,10,0.03475513428120063,0.018371093013729464,0.8389349
qwen,256,3,1,1e-05,True,20,0.04739336492890995,0.021557445976218746,0.83845025
